,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Children,Gasto_Total
236,Master,Con Pareja,23661.0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,42,1,23
237,Doctorate,Soltero,79761.0,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,0,66,1,605
238,Graduation,Soltero,7500.0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0,0,0,51,1,57
240,Graduation,Soltero,73455.0,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,0,56,0,2088
241,Graduation,Con Pareja,64961.0,97,382,114,276,75,124,38,2,6,4,4,3,0,0,0,0,0,0,0,66,1,1009
242,Graduation,Soltero,22804.0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,0,53,1,26
243,Graduation,Con Pareja,73687.0,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,0,1,34,0,1627
245,Doctorate,Con Pareja,31686.0,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,60,2,17
247,Graduation,Con Pareja,75027.0,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,0,71,1,1390
248,Doctorate,Con Pareja,67546.0,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,0,36,0,2126
249,Master,Con Pareja,65176.0,57,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0,0,0,55,1,1531
250,Master,Soltero,31160.0,59,16,3,25,6,1,13,2,2,0,3,8,0,0,0,0,0,0,0,49,1,64
251,Graduation,Soltero,29938.0,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,0,39,1,26
252,Graduation,Soltero,102692.0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,0,1,50,0,1112
253,NoGraduation,Con Pareja,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,66,0,210
254,Graduation,Con Pareja,75702.0,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,0,57,2,1148
255,Doctorate,Soltero,30899.0,35,24,0,8,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,50,1,33
256,Doctorate,Con Pareja,63342.0,48,918,21,118,13,10,21,3,8,3,5,6,0,1,0,0,0,0,0,63,1,1101
257,Graduation,Soltero,45989.0,97,138,33,87,28,24,12,4,3,2,7,3,0,0,0,0,0,0,0,60,1,322
258,Graduation,Soltero,18701.0,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,0,60,2,44
259,Doctorate,Soltero,40737.0,24,11,0,4,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,67,3,17
260,Graduation,Soltero,15287.0,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0,1,45,1,31
261,Doctorate,Soltero,69674.0,46,554,41,215,11,0,24,3,10,2,10,5,0,0,0,0,0,0,0,56,2,845
262,Master,Con Pareja,44159.0,85,167,2,62,24,13,7,4,4,1,6,5,0,0,0,0,0,0,0,54,1,275
263,Doctorate,Con Pareja,37717.0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,46,1,25
264,Master,Con Pareja,43776.0,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,0,1,72,2,275
265,Master,Con Pareja,38179.0,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,0,58,2,90
266,Graduation,Con Pareja,80124.0,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,0,61,0,1495
267,Doctorate,Con Pareja,38097.0,70,77,2,35,0,1,69,4,3,2,2,7,1,0,0,0,0,0,1,54,2,184
268,Graduation,Con Pareja,72940.0,13,182,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,0,54,0,981
269,Graduation,Con Pareja,22070.0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,0,54,1,67
270,Graduation,Soltero,69267.0,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,0,1,71,0,1635
271,Master,Soltero,31788.0,15,16,7,23,0,8,6,3,3,0,4,5,0,0,0,0,0,1,0,41,1,60
272,Doctorate,Con Pareja,61905.0,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,49,1,231
273,Graduation,Con Pareja,29315.0,55,13,2,14,8,7,4,4,2,0,4,6,0,0,0,0,0,0,0,64,2,48
274,Graduation,Soltero,33378.0,38,33,6,40,3,7,10,3,2,0,4,7,0,0,0,0,0,0,0,61,2,99
275,Doctorate,Con Pareja,66313.0,86,625,7,99,10,22,7,2,6,3,12,4,0,0,0,0,0,0,0,61,1,770
276,Graduation,Soltero,60714.0,56,216,162,224,101,92,162,2,7,4,10,5,0,0,0,0,0,0,1,68,0,957
277,Master,Con Pareja,77882.0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,0,43,0,818
278,Doctorate,Soltero,69867.0,30,196,0,512,33,130,54,1,3,5,8,1,0,0,0,1,0,0,1,38,0,925
279,Master,Soltero,63841.0,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,0,56,1,908
280,NoGraduation,Con Pareja,24480.0,46,4,19,9,28,25,17,3,3,0,4,7,0,0,0,0,0,0,0,43,1,102
281,Graduation,Con Pareja,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0,48,1,576
282,Graduation,Con Pareja,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,78,0,317
283,Doctorate,Con Pareja,65640.0,74,204,7,149,20,15,66,1,5,1,8,2,0,0,0,0,0,0,0,50,1,461
284,Master,Con Pareja,44319.0,18,26,0,8,0,0,3,2,2,0,3,5,0,0,0,0,0,0,0,49,2,37
285,Graduation,Con Pareja,30631.0,75,15,6,20,4,5,20,1,3,1,2,7,0,0,0,0,0,0,0,50,1,70
286,Graduation,Con Pareja,75278.0,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,0,0,72,0,930
289,Master,Soltero,35416.0,62,248,3,81,4,3,51,3,7,1,5,8,0,0,0,0,0,0,0,75,0,390
290,NoGraduation,Con Pareja,32414.0,11,20,6,5,0,9,12,1,1,0,3,7,1,0,0,0,0,0,0,40,0,52
291,Graduation,Con Pareja,38361.0,74,39,0,56,20,8,14,3,3,1,3,7,0,0,0,0,0,0,0,55,1,137
292,Graduation,Con Pareja,82497.0,32,777,129,573,216,21,203,1,2,7,9,4,0,0,1,0,0,0,0,44,0,1919
293,Graduation,Con Pareja,16626.0,76,8,3,22,21,1,13,3,3,0,3,9,0,0,0,0,0,0,0,53,2,68
294,Graduation,Con Pareja,29672.0,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,59,2,25
296,NoGraduation,Soltero,35388.0,20,6,4,7,4,3,8,1,1,0,3,7,0,0,0,0,0,0,0,36,1,32
297,Master,Con Pareja,42386.0,43,65,4,16,0,4,11,1,3,0,3,8,0,0,0,0,0,0,0,38,1,100
298,Graduation,Soltero,68627.0,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0,0,42,0,825
299,Doctorate,Soltero,57912.0,34,801,0,80,0,0,35,5,8,3,12,5,0,1,0,0,0,0,0,59,1,916
300,Graduation,Soltero,35246.0,53,36,0,12,2,2,10,4,3,1,3,5,0,0,0,0,0,0,0,66,2,62
301,NoGraduation,Con Pareja,58821.0,44,513,14,154,19,0,28,1,9,2,9,6,0,0,0,0,0,0,0,68,1,728
302,Doctorate,Con Pareja,46377.0,89,37,0,46,4,3,0,1,2,1,3,4,0,0,0,0,0,0,0,46,1,90
303,Graduation,Soltero,39747.0,43,80,15,93,20,13,52,3,5,1,4,8,0,0,0,0,0,0,0,36,1,273
304,Graduation,Con Pareja,23976.0,68,14,1,21,2,3,25,3,3,1,3,7,0,0,0,0,0,0,0,40,1,66
305,Master,Con Pareja,80950.0,44,525,147,112,219,147,63,1,6,7,9,2,0,0,0,1,0,0,0,63,0,1213
306,Graduation,Soltero,27038.0,64,1,26,25,17,23,15,1,3,0,3,9,0,0,0,0,0,0,1,58,0,107
307,Graduation,Soltero,77457.0,85,675,11,400,15,45,11,1,2,5,10,1,0,0,1,0,0,0,0,77,0,1157
308,Master,Con Pareja,64100.0,93,509,0,27,0,0,10,1,8,3,6,7,0,1,0,0,0,0,0,60,1,546
309,Master,Con Pareja,42670.0,12,154,2,46,20,4,15,1,4,2,4,4,0,0,0,0,0,0,0,32,0,241
310,Graduation,Soltero,12571.0,86,3,5,14,2,12,17,4,3,1,3,6,0,0,0,0,0,0,0,48,1,53
311,Graduation,Con Pareja,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,57,3,37
312,Graduation,Con Pareja,51381.5,69,861,138,461,60,30,61,1,6,5,12,3,0,1,0,1,0,0,0,35,0,1611
313,Master,Soltero,70893.0,42,768,44,561,77,44,14,1,6,6,10,3,0,0,0,0,0,0,0,48,0,1508
314,Graduation,Con Pareja,54198.0,13,185,0,28,3,2,17,6,3,1,6,4,0,0,0,0,0,0,0,58,2,235
315,Master,Con Pareja,28839.0,86,24,0,7,0,0,1,2,2,0,3,5,0,0,0,0,0,0,0,68,2,32
316,Graduation,Con Pareja,40321.0,59,44,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,0,52,2,102
317,Graduation,Soltero,66503.0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,0,39,1,401
318,Graduation,Con Pareja,30833.0,33,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,0,73,2,28
319,Graduation,Soltero,51381.5,67,738,20,172,52,50,20,6,2,3,10,7,0,1,0,1,0,0,0,54,3,1052
320,Graduation,Con Pareja,64795.0,23,412,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,0,53,1,680
321,Graduation,Con Pareja,34421.0,81,3,3,7,6,2,9,1,1,0,2,7,0,0,0,0,0,0,0,50,1,30
322,Doctorate,Soltero,47025.0,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,59,2,20
323,Doctorate,Soltero,64325.0,41,731,60,353,78,12,73,5,10,3,5,7,0,0,0,0,0,0,0,63,1,1307
324,Graduation,Soltero,40464.0,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,0,71,1,630
325,Graduation,Con Pareja,62187.0,49,792,0,275,45,45,126,1,4,8,5,3,0,0,0,0,0,0,0,67,0,1283
326,Doctorate,Soltero,14849.0,39,21,2,28,3,2,9,3,2,0,4,8,0,0,0,0,0,0,0,48,1,65
327,Graduation,Con Pareja,27255.0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,40,1,37
328,Doctorate,Con Pareja,54432.0,37,33,0,5,0,0,0,1,1,0,3,4,0,0,0,0,0,0,0,74,3,38
329,Doctorate,Soltero,29999.0,22,68,7,59,10,5,11,4,3,1,4,8,0,0,0,0,0,0,0,38,1,160
330,Graduation,Soltero,24072.0,79,9,1,6,3,0,4,1,1,0,2,8,0,0,0,0,0,0,0,41,1,23
331,Doctorate,Soltero,33996.0,46,40,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,0,35,0,71
332,Doctorate,Con Pareja,66334.0,82,909,11,218,0,0,23,2,9,3,5,5,0,0,0,0,0,0,1,68,1,1161
333,Master,Con Pareja,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,53,1,59
334,Graduation,Con Pareja,22010.0,51,11,2,9,3,0,8,2,2,0,3,8,0,0,0,0,0,0,0,41,1,33
335,Graduation,Soltero,62204.0,38,317,46,247,151,46,139,1,4,5,12,3,0,0,0,0,0,0,0,64,2,946
336,Graduation,Soltero,75693.0,10,797,153,293,72,97,30,1,11,4,6,4,0,1,1,1,0,0,1,56,0,1442
337,Graduation,Con Pareja,30675.0,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,0,52,1,62
338,Graduation,Con Pareja,83003.0,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,0,1,59,0,1674
340,Graduation,Soltero,68655.0,95,456,19,832,75,118,38,1,4,5,11,3,0,0,0,0,0,0,0,36,0,1538
341,Graduation,Soltero,41411.0,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,0,0,38,0,139
342,Doctorate,Con Pareja,55212.0,65,1103,0,45,0,0,34,3,4,2,11,8,0,1,0,0,1,0,0,55,1,1182
343,Doctorate,Con Pareja,59292.0,71,378,14,68,19,14,14,2,3,5,8,3,0,0,0,0,0,0,0,74,1,507
344,NoGraduation,Con Pareja,27190.0,13,1,6,7,0,1,3,1,1,0,2,8,1,0,0,0,0,0,1,51,1,18
345,Graduation,Soltero,82623.0,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,0,72,0,940
346,Graduation,Con Pareja,44300.0,65,30,0,9,0,0,3,2,1,0,3,6,0,0,0,0,0,0,0,59,2,42
347,Graduation,Soltero,84835.0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,0,1,54,0,1190
348,Graduation,Soltero,30372.0,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,0,53,2,44
349,Master,Con Pareja,33181.0,90,9,0,3,0,0,4,1,1,0,2,6,1,0,0,0,0,0,0,48,1,16
350,Graduation,Con Pareja,71113.0,95,495,33,255,11,33,8,4,6,7,9,4,0,0,0,0,0,0,0,67,1,835
351,Graduation,Con Pareja,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,38,1,1443
352,Doctorate,Soltero,69759.0,38,452,20,514,13,30,0,3,4,6,5,3,0,0,0,0,0,0,1,58,0,1029
353,Graduation,Con Pareja,72099.0,18,546,91,410,119,0,22,1,3,4,10,1,0,0,0,0,0,0,0,50,0,1188
354,Doctorate,Soltero,60000.0,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,0,0,0,0,0,48,1,1277
355,Graduation,Soltero,38643.0,45,22,2,14,0,1,10,2,2,0,3,7,0,0,0,0,0,1,0,46,2,49
356,Graduation,Con Pareja,50737.0,61,78,0,11,0,0,10,1,2,0,4,6,0,1,0,0,0,0,0,69,1,99
357,Doctorate,Con Pareja,68462.0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,55,0,1670
358,Master,Con Pareja,65073.0,65,629,17,177,69,0,8,1,5,3,5,2,0,0,0,0,0,1,0,81,0,900
359,Doctorate,Con Pareja,46681.0,52,269,15,69,15,19,38,2,4,6,4,5,0,0,0,0,0,0,0,76,2,425
360,Graduation,Con Pareja,78618.0,87,736,163,818,212,163,61,1,4,7,10,2,0,1,0,0,0,0,0,67,0,2153
361,Doctorate,Soltero,62187.0,38,512,0,83,0,0,41,3,6,2,10,4,0,0,0,0,0,0,0,55,1,636
362,Graduation,Con Pareja,28442.0,53,19,3,10,11,8,6,3,2,1,4,4,0,0,0,0,0,0,0,46,2,57
363,Doctorate,Con Pareja,37717.0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,46,1,25
365,Graduation,Soltero,54803.0,65,404,0,92,28,27,142,2,6,2,9,4,0,0,0,0,0,0,0,55,1,693
366,Graduation,Con Pareja,79530.0,64,333,0,815,129,42,29,1,4,10,11,2,0,0,0,0,0,0,0,64,0,1348
367,Graduation,Soltero,31615.0,82,2,3,20,6,11,9,2,2,0,3,7,0,0,0,0,0,0,0,48,1,51
368,Graduation,Con Pareja,72025.0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,0,62,0,1932
369,Doctorate,Soltero,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,49,1,990
370,NoGraduation,Con Pareja,35684.0,66,10,4,7,0,6,3,1,1,0,3,6,0,0,0,0,0,0,0,40,1,30
371,Graduation,Con Pareja,48178.0,69,159,4,45,6,2,38,6,5,1,4,8,0,0,0,0,0,0,0,49,2,254
372,Master,Soltero,29548.0,52,7,1,6,3,1,11,1,1,1,2,4,1,0,0,0,0,0,0,54,1,29
373,Graduation,Soltero,63810.0,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0,0,58,1,1371
374,Doctorate,Soltero,38578.0,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,1,52,2,73
375,Master,Soltero,46098.0,86,57,0,27,0,0,36,4,3,2,2,8,0,0,0,0,0,0,0,49,2,120
376,Graduation,Soltero,22585.0,23,3,9,15,13,2,39,1,1,1,2,9,1,0,0,0,0,0,1,54,0,81
377,Graduation,Soltero,30279.0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,0,35,1,37
378,Doctorate,Con Pareja,66426.0,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,0,0,0,0,0,63,1,1377
379,Graduation,Soltero,30822.0,92,3,9,13,2,12,12,1,1,0,3,7,0,0,0,0,0,0,0,55,1,51
380,Doctorate,Con Pareja,33581.0,38,11,0,5,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,55,2,17
381,Graduation,Con Pareja,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,39,1,22
382,Graduation,Soltero,27421.0,14,43,12,96,78,40,55,3,4,1,6,7,0,0,0,0,0,0,0,70,0,324
384,Master,Soltero,36143.0,33,12,0,1,0,0,6,1,0,1,2,3,0,0,0,0,0,0,0,43,1,19
385,Graduation,Soltero,10245.0,32,4,7,7,6,4,13,3,1,2,2,5,0,0,0,0,0,0,0,53,1,41
386,Master,Con Pareja,43795.0,11,314,11,53,4,3,107,3,7,3,4,7,0,1,0,0,0,0,1,56,1,492
387,Graduation,Con Pareja,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,64,1,1005
388,Graduation,Con Pareja,38823.0,56,70,0,11,2,8,23,1,2,1,3,6,0,0,0,0,0,0,0,75,1,114
389,Doctorate,Soltero,83664.0,57,866,21,151,28,21,86,3,2,2,12,5,0,0,0,0,0,0,0,56,2,1173
390,Graduation,Con Pareja,90300.0,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,45,0,1738
391,Master,Con Pareja,62499.0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,45,1,222
392,Graduation,Soltero,74293.0,66,375,152,335,93,91,81,1,5,4,6,2,0,0,0,0,0,0,0,31,0,1127
393,Doctorate,Con Pareja,51012.0,86,102,9,63,2,9,24,1,4,1,4,6,0,0,0,0,0,0,0,78,0,209
394,Master,Con Pareja,70777.0,80,554,35,113,0,7,78,3,5,3,12,3,0,0,0,0,0,0,0,56,1,787
395,Doctorate,Con Pareja,68682.0,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,0,33,0,1598
396,Graduation,Con Pareja,43824.0,18,96,1,42,12,3,32,4,3,1,4,8,0,0,0,0,0,0,0,53,2,186
397,Graduation,Con Pareja,15345.0,51,5,2,16,3,2,19,2,1,1,2,8,0,0,0,0,0,0,1,40,1,47
398,Graduation,Soltero,23442.0,71,2,0,6,8,6,5,1,1,0,3,7,0,0,0,0,0,0,0,37,1,27
399,NoGraduation,Con Pareja,14515.0,71,6,4,9,6,36,35,4,2,2,3,7,0,0,0,0,0,0,1,44,1,96
400,NoGraduation,Soltero,31395.0,80,23,1,25,0,8,7,4,2,1,3,6,0,0,0,0,0,0,0,68,2,64
401,Graduation,Con Pareja,75276.0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,59,0,1040
402,Graduation,Soltero,42373.0,83,67,5,61,3,8,19,5,2,1,5,5,0,0,0,0,0,0,0,50,2,163
403,Graduation,Con Pareja,30507.0,29,65,36,74,38,20,110,1,5,1,4,7,0,0,0,0,0,0,0,64,0,343
405,Graduation,Con Pareja,48006.0,55,23,0,11,3,2,2,1,1,0,3,6,0,0,0,0,0,0,0,59,2,41
406,Doctorate,Soltero,27213.0,19,19,3,26,10,9,3,3,2,0,4,8,0,0,0,0,0,0,1,52,1,70
407,Doctorate,Soltero,65808.0,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,53,2,272
408,Doctorate,Con Pareja,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,0,50,1,46
409,Graduation,Con Pareja,50437.0,28,370,9,92,6,9,4,3,7,1,8,7,0,0,0,0,0,0,0,61,2,490
410,NoGraduation,Soltero,23616.0,76,4,22,11,3,7,32,2,3,0,3,8,0,0,0,0,0,0,1,42,1,79
411,Graduation,Con Pareja,53858.0,50,407,53,221,58,150,26,4,4,3,6,4,0,0,0,0,0,0,0,48,1,915
413,Graduation,Soltero,46923.0,90,85,44,54,102,78,6,3,5,1,7,7,0,0,0,0,0,0,0,37,1,369
414,Graduation,Con Pareja,75072.0,83,583,34,309,0,22,125,2,5,4,8,3,0,0,0,0,0,0,0,62,1,1073
415,Doctorate,Con Pareja,75865.0,73,483,0,591,156,0,12,1,3,5,10,1,0,0,0,0,0,0,0,81,0,1242
416,NoGraduation,Con Pareja,19789.0,24,2,5,9,28,6,28,3,2,1,3,5,1,0,0,0,0,0,0,49,1,78
417,Graduation,Con Pareja,80134.0,11,966,26,282,52,26,26,1,2,7,11,5,0,1,1,1,1,0,0,30,0,1378
418,Graduation,Soltero,91065.0,33,822,114,108,179,137,114,1,7,9,9,3,0,0,1,1,0,0,1,43,0,1474
420,Doctorate,Con Pareja,37401.0,14,19,3,19,3,1,3,2,2,0,3,7,0,0,0,0,0,0,0,51,1,48
421,Graduation,Con Pareja,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,41,1,45
422,Master,Con Pareja,18492.0,75,2,2,2,2,1,1,1,1,0,2,8,0,0,0,0,0,0,0,42,1,10
423,Master,Con Pareja,82584.0,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,0,1,50,0,1435
425,Graduation,Con Pareja,48686.0,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0,71,3,20
426,Graduation,Con Pareja,92910.0,42,551,137,792,179,103,33,1,6,7,13,1,0,1,1,1,0,0,0,38,0,1795
427,Graduation,Con Pareja,75433.0,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,0,35,1,1188
428,NoGraduation,Con Pareja,10404.0,52,2,2,11,10,6,12,2,1,0,4,5,0,0,0,0,0,0,0,35,1,43
429,Graduation,Con Pareja,61314.0,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,56,1,1008
431,Graduation,Con Pareja,42387.0,42,235,0,235,19,4,191,5,8,1,7,8,0,0,0,0,0,0,0,35,1,684
433,Graduation,Con Pareja,75236.0,27,438,66,400,12,38,114,1,8,3,13,4,0,0,0,0,0,0,0,60,1,1068
434,Graduation,Soltero,30015.0,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,0,54,1,57
435,Master,Con Pareja,50943.0,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,68,1,46
436,Graduation,Soltero,67272.0,12,357,35,271,28,28,14,3,6,2,12,5,0,0,0,0,0,0,0,58,1,733
437,Master,Soltero,51529.0,14,400,4,35,6,0,22,2,9,1,5,8,0,0,0,0,0,0,0,75,1,467
438,Doctorate,Con Pareja,32011.0,89,99,0,15,2,1,5,3,2,1,4,7,0,0,0,0,0,0,0,53,1,122
439,NoGraduation,Con Pareja,7500.0,96,1,11,5,4,6,9,2,2,0,3,8,0,0,0,0,0,0,0,38,1,36
440,Graduation,Con Pareja,28691.0,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0,35,1,34
441,Doctorate,Con Pareja,56223.0,72,77,28,31,16,0,4,2,2,1,5,4,0,0,0,0,0,0,0,76,1,156
442,Graduation,Con Pareja,18100.0,14,3,1,2,4,3,1,1,0,0,3,5,0,0,0,0,0,0,0,78,0,14
443,Graduation,Soltero,30279.0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,0,35,1,37
444,NoGraduation,Con Pareja,20130.0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0,50,0,34
445,Graduation,Soltero,23295.0,72,0,0,1,2,12,5,1,1,0,2,8,0,0,0,0,0,0,0,65,0,20
446,Master,Soltero,42618.0,92,76,14,74,13,5,10,2,5,0,4,8,0,0,0,0,0,0,0,52,1,192
447,Graduation,Soltero,81246.0,87,398,190,537,61,156,37,1,4,5,7,1,1,0,0,1,0,0,0,60,0,1379
448,Graduation,Con Pareja,24027.0,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,48,1,48
449,Doctorate,Con Pareja,55707.0,91,208,7,82,30,66,35,2,3,2,9,3,0,0,0,0,0,0,0,71,1,428
450,Graduation,Soltero,57959.0,71,430,16,322,43,24,33,5,4,7,11,3,0,0,0,0,0,0,0,69,1,868
451,Graduation,Con Pareja,56796.0,24,656,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,0,55,1,1001
452,Master,Soltero,36230.0,17,14,2,30,8,2,3,1,2,0,4,5,0,0,0,0,0,0,0,53,1,59
453,NoGraduation,Con Pareja,70829.0,87,141,70,106,72,19,23,2,4,2,8,3,0,0,0,0,0,0,0,44,2,431
454,Graduation,Con Pareja,65991.0,21,507,19,364,25,47,9,3,9,5,10,7,0,0,0,0,0,0,0,48,1,971
456,NoGraduation,Soltero,89572.0,44,606,24,974,197,194,64,1,7,7,9,4,0,1,0,1,0,0,1,58,0,2059
457,Master,Con Pareja,42207.0,71,116,11,72,3,17,46,4,4,1,5,6,1,0,0,0,0,0,1,40,1,265
458,Graduation,Con Pareja,50300.0,52,143,15,60,24,23,5,2,2,1,8,2,0,0,0,0,0,0,0,72,1,270
459,NoGraduation,Con Pareja,66664.0,78,398,96,447,220,96,32,1,5,7,6,3,0,0,0,0,0,0,0,42,0,1289
460,Graduation,Con Pareja,60597.0,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,0,1,60,1,893
461,Graduation,Soltero,70165.0,60,161,0,253,199,191,122,1,3,7,11,1,0,0,0,0,0,0,0,75,0,926
462,Doctorate,Soltero,50520.0,25,112,0,6,2,1,14,2,3,1,3,6,0,0,0,0,0,0,0,66,1,135
463,Graduation,Con Pareja,80124.0,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,0,61,0,1495
464,Graduation,Con Pareja,33183.0,46,7,5,39,17,15,37,2,4,0,3,7,0,0,0,0,0,0,0,49,1,120
465,Doctorate,Soltero,66582.0,83,789,25,420,16,38,0,1,2,8,9,1,0,0,0,0,0,0,0,55,0,1288
467,Graduation,Soltero,31880.0,13,4,1,5,2,0,3,1,1,0,2,8,0,0,0,0,0,0,0,54,1,15
468,Graduation,Con Pareja,53790.0,86,335,42,127,28,5,5,3,7,2,8,6,0,0,0,0,0,0,0,73,2,542
469,Doctorate,Con Pareja,49269.0,92,639,8,166,11,8,58,3,7,3,12,7,0,0,0,0,0,0,0,53,1,890
470,Graduation,Con Pareja,61456.0,47,563,76,384,84,192,89,4,6,10,13,4,0,0,0,0,0,0,0,49,1,1388
471,Graduation,Con Pareja,37406.0,18,2,0,8,2,2,3,1,1,0,2,8,0,0,0,0,0,0,1,44,1,17
473,Graduation,Con Pareja,38415.0,91,22,1,13,4,0,4,2,1,0,3,7,0,0,0,0,0,0,0,46,2,44
